well	strain	sample_name	time_point	target_name	ct	ct_mean	ct_sd	quantity	quantity_mean	quantity_sd
D7	B6	B6_31	72	mE1A	17.93770981	17.96281052	0.047264747	7432999.5	7315702	221390.9375
E7	B6	B6_31	72	mE1A	18.01733017	17.96281052	0.047264747	7060343	7315702	221390.9375
F7	B6	B6_31	72	mE1A	17.93339157	17.96281052	0.047264747	7453763.5	7315702	221390.9375
D8	B6	B6_32	72	mE1A	18.41689491	18.36805916	0.046695743	5454110.5	5630620.5	169457.5781
E8	B6	B6_32	72	mE1A	18.32384682	18.36805916	0.046695743	5792012.5	5630620.5	169457.5781
F8	B6	B6_32	72	mE1A	18.36344147	18.36805916	0.046695743	5645739.5	5630620.5	169457.5781
D9	B6	B6_33	72	mE1A	18.179636	18.03316307	0.127913535	6357542.5	7004177.5	565400.25
E9	B6	B6_33	72	mE1A	17.94346046	18.03316307	0.127913535	7405437	7004177.5	565400.25
F9	B6	B6_33	72	mE1A	17.97639275	18.03316307	0.127913535	7249552.5	7004177.5	565400.25
H1	B6	B6_34	48	mE1A	17.18997574	17.15189934	0.085673623	12048927	12361707	693953.1875
H2	B6	B6_34	48	mE1A	17.05378914	17.15189934	0.085673623	13157000	12361707	693953.1875
H3	B6	B6_34	48	mE1A	17.21193695	17.15189934	0.085673623	11879193	12361707	693953.1875
D10	B6	B6_35	72	mE1A	18.01941872	18.05931854	0.060107704	7050823.5	6874828.5	264001.5
E10	B6	B6_35	72	mE1A	18.1284523	18.05931854	0.060107704	6571271	6874828.5	264001.5
F10	B6	B6_35	72	mE1A	18.03008842	18.05931854	0.060107704	7002391	6874828.5	264001.5
H4	B6	B6_36	48	mE1A	17.35165787	17.38418388	0.029739698	10853925	10629541	204838.3438
H5	B6	B6_36	48	mE1A	17.39091301	17.38418388	0.029739698	10582138	10629541	204838.3438
H6	B6	B6_36	48	mE1A	17.40998459	17.38418388	0.029739698	10452560	10629541	204838.3438
D11	B6	B6_37	72	mE1A	18.07020569	18.01062965	0.074112758	6823246.5	7096427.5	343112.9375
E11	B6	B6_37	72	mE1A	17.9276371	18.01062965	0.074112758	7481524.5	7096427.5	343112.9375
F11	B6	B6_37	72	mE1A	18.03404617	18.01062965	0.074112758	6984510.5	7096427.5	343112.9375
H7	B6	B6_38	48	mE1A	17.27043152	17.27436256	0.004219083	11438674	11409696	31089.89453
H8	B6	B6_38	48	mE1A	17.27882004	17.27436256	0.004219083	11376855	11409696	31089.89453
H9	B6	B6_38	48	mE1A	17.27383423	17.27436256	0.004219083	11413557	11409696	31089.89453
D12	B6	B6_39	72	mE1A	18.17633438	18.10435677	0.063365489	6371117	6678068.5	270529.0938
E12	B6	B6_39	72	mE1A	18.05698776	18.10435677	0.063365489	6881759	6678068.5	270529.0938
F12	B6	B6_39	72	mE1A	18.07974434	18.10435677	0.063365489	6781330	6678068.5	270529.0938
